,month,hour,demand,toronto,thunder_bay,ottawa,timmins
1716354000,5,1,14226,20.3,13.8,16.6,19.0
1716357600,5,2,13718,20.7,12.1,16.1,18.5
1716361200,5,3,13390,19.6,10.7,16.3,17.5
1716364800,5,4,13388,18.9,9.4,16.5,16.8
1716368400,5,5,13463,18.7,9.5,16.6,16.8
1716372000,5,6,14260,19.6,9.0,16.6,16.2
1716375600,5,7,15694,21.5,9.5,16.9,16.7
1716379200,5,8,16606,23.1,11.8,17.5,18.7
1716382800,5,9,17115,24.1,15.9,19.7,19.5
1716386400,5,10,17597,26.0,17.1,22.3,21.5
1716390000,5,11,18255,26.3,16.2,24.6,22.2
1716393600,5,12,18715,28.1,17.7,26.8,23.0
1716397200,5,13,19447,27.0,16.0,28.5,25.2
1716400800,5,14,19532,25.5,15.5,30.0,25.3
1716404400,5,15,19599,23.3,15.0,29.1,27.7
1716408000,5,16,19893,22.9,12.2,29.8,25.9
1716411600,5,17,20402,24.4,9.3,29.6,26.9
1716415200,5,18,20412,24.6,8.9,28.1,25.7
1716418800,5,19,20436,23.3,7.1,25.7,23.2
1716422400,5,20,20062,23.6,5.3,25.0,20.1
1716426000,5,21,19475,22.5,4.4,23.7,17.7
1716429600,5,22,18061,23.0,3.7,22.6,16.5
1716433200,5,23,16558,21.9,3.5,21.7,16.4
1716436800,5,0,15098,21.44,4.03,21.3,15.88
1716440400,5,1,14071,19.83,4.03,20.3,11.88
1716444000,5,2,13609,18.99,4.03,20.89,9.88
1716447600,5,3,13318,18.49,4.03,20.5,9.88
1716451200,5,4,13164,18.21,4.03,19.75,8.88
1716454800,5,5,13552,16.98,4.03,18.6,8.88
1716458400,5,6,14881,15.69,4.03,17.86,7.88
1716462000,5,7,15950,16.95,4.03,17.42,7.88
1716465600,5,8,16358,17.33,5.03,18.13,6.88
1716469200,5,9,16410,19.3,6.03,19.41,6.88
1716472800,5,10,16592,21.35,8.03,20.76,7.88
1716476400,5,11,16770,22.14,9.03,21.7,8.88
1716480000,5,12,16806,22.91,10.03,22.97,8.88
1716483600,5,13,16666,22.83,12.03,23.88,9.88
1716487200,5,14,16957,23.49,13.03,25.0,10.88
1716490800,5,15,17394,24.62,14.03,24.91,12.88
1716494400,5,16,18029,23.97,16.03,25.44,12.88
1716498000,5,17,18399,24.11,16.03,24.74,11.88
1716501600,5,18,18503,25.17,16.03,23.44,10.88
1716505200,5,19,18465,24.19,16.03,22.91,10.88
1716508800,5,20,18090,23.21,15.03,22.18,9.88
1716512400,5,21,17477,21.91,13.03,20.18,6.88
1716516000,5,22,16684,20.59,10.03,19.3,3.88
